Run,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249,V250
1,1.0,1.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.0,2.0,2.0,1.0,4.0,4.0,3.0,3.0,2.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3.0,4.0,1.0,2.0,4.0,1.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,1.0,3.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,7.0,10.0,12.0,15.0,16.0,19.0,22.0,26.0,30.0,37.0,55.0,65.0,80.0,102.0,121.0,141.0,164.0,178.0,197.0,209.0,222.0,248.0,281.0,314.0,367.0,411.0,477.0,526.0,588.0,660.0,749.0,780.0,837.0,928.0,922.0,950.0,998.0,992.0,954.0,934.0,876.0,735.0,662.0,588.0,507.0,423.0,361.0,311.0,300.0,287.0,277.0,241.0,245.0,228.0,221.0,184.0,207.0,176.0,187.0,167.0,161.0,156.0,155.0,108.0,113.0,127.0,115.0,113.0,139.0,117.0,86.0,101.0,88.0,85.0,89.0,96.0,68.0,73.0,75.0,54.0,60.0,87.0,56.0,61.0,82.0,68.0,73.0,47.0,48.0,62.0,34.0,48.0,46.0,58.0,44.0,51.0,55.0,38.0,30.0,33.0,47.0,32.0,36.0,42.0,27.0,30.0,39.0,26.0,32.0,30.0,33.0,24.0,22.0,28.0,34.0,28.0,13.0,22.0,23.0,26.0,27.0,23.0,19.0,19.0,11.0,20.0,16.0,20.0,18.0,14.0,13.0,8.0,14.0,13.0,17.0,17.0,6.0,10.0,8.0,11.0,15.0,9.0,12.0,6.0,11.0,9.0,7.0,7.0,7.0,6.0,4.0,4.0,8.0,6.0,9.0,4.0,13.0,9.0,5.0,5.0,10.0,8.0,8.0,7.0,7.0,10.0,5.0,6.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,4.0,7.0,5.0,2.0,4.0,2.0,2.0,2.0,6.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0
6,1.0,4.0,4.0,1.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,16.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,22.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,24.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,28.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,32.0,34.0,35.0,35.0,35.0,35.0
7,2.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,2.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,7.0,8.0,10.0,11.0,12.0,12.0,13.0,13.0,13.0,13.0,16.0,16.0,17.0,21.0,23.0,28.0,31.0,37.0,40.0,48.0,51.0,58.0,67.0,68.0,77.0,82.0,87.0,94.0,110.0,117.0,125.0,134.0,146.0,162.0,173.0,197.0,209.0,222.0,252.0,301.0,333.0,376.0,407.0,484.0,515.0,587.0,666.0,728.0,806.0,854.0,930.0,939.0,951.0,934.0,903.0,840.0,825.0,762.0,709.0,719.0,609.0,607.0,542.0,477.0,424.0,389.0,432.0,375.0,354.0,336.0,292.0,284.0,245.0,234.0,245.0,231.0,191.0,187.0,172.0,166.0,156.0,163.0,147.0,110.0,127.0,114.0,92.0,110.0,91.0,79.0,83.0,89.0,71.0,75.0,76.0,74.0,80.0,58.0,76.0,65.0,61.0,37.0,52.0,61.0,53.0,58.0,50.0,50.0,42.0,45.0,49.0,58.0,33.0,40.0,30.0,34.0,35.0,37.0,36.0,44.0,31.0,36.0,33.0,38.0,30.0,28.0,30.0,26.0,35.0,30.0,28.0,27.0,27.0,23.0,12.0,22.0,14.0,23.0,16.0,16.0,13.0,22.0,26.0,12.0,16.0,18.0,14.0,10.0,17.0,18.0,6.0,15.0,14.0,12.0,9.0,9.0,6.0,10.0,13.0,5.0,8.0,11.0,13.0,10.0,6.0,9.0,11.0,2.0,6.0,7.0,4.0,8.0,4.0,8.0,5.0,1.0,5.0,6.0,8.0,6.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,8.0,2.0,4.0,3.0,2.0,2.0,5.0,2.0,5.0,2.0,3.0,0.0,5.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,5.0,3.0,0.0,2.0,3.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0
8,1.0,3.0,3.0,2.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,3.0,1.0,2.0,4.0,4.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,4.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,4.0,4.0,3.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,10.0,11.0,19.0,28.0,41.0,72.0,106.0,172.0,243.0,350.0,470.0,602.0,770.0,922.0,1087.0,1267.0,1462.0,1660.0,1833.0,2091.0,2325.0,2507.0,2723.0,2959.0,3187.0,3441.0,3625.0,3858.0,4112.0,4310.0,4505.0,4747.0,4923.0,5102.0,5319.0,5502.0,5680.0,5830.0,6006.0,6166.0,6337.0,6479.0,6602.0,6746.0,6879.0,6989.0,7112.0,7236.0,7341.0,7462.0,7586.0,7663.0,7763.0,7868.0,7942.0,8046.0,8128.0,8220.0,8294.0,8367.0,8443.0,8515.0,8583.0,8668.0,8753.0,8811.0,8877.0,8947.0,9016.0,9071.0,9115.0,9175.0,9214.0,9265.0,9313.0,9354.0,9395.0,9445.0,9490.0,9523.0,9545.0,9573.0,9606.0,9644.0,9674.0,9692.0,9721.0,9754.0,9778.0,9801.0,9822.0,9838.0,9862.0,9877.0,9901.0,9917.0,9934.0,9953.0,9974.0,9991.0,10002.0,10018.0,10033.0,10047.0,10060.0,10070.0,10077.0,10094.0,10109.0,10113.0,10123.0,10130.0,10137.0,10143.0,10154.0,10165.0,10171.0,10183.0,10192.0,10199.0,10205.0,10211.0,10216.0,10225.0,10235.0,10243.0,10247.0,10255.0,10261.0,10266.0,10271.0,10273.0,10279.0,10282.0,10290.0,10294.0,10299.0,10299.0,10312.0,10316.0,10320.0,10321.0,10322.0,10323.0,10326.0,10330.0,10332.0,10333.0,10337.0,10342.0,10346.0,10345.0,10351.0,10356.0,10358.0,10359.0,10362.0,10366.0,10369.0,10371.0,10373.0,10374.0,10376.0,10376.0,10377.0,10378.0,10379.0,10382.0,10385.0,10384.0,10383.0,10387.0,10386.0,10387.0,10386.0,10388.0,10390.0,10392.0,10393.0,10393.0,10393.0,10392.0,10392.0,10394.0,10394.0,10394.0,10392.0,10391.0,10394.0,10395.0,10393.0,10394.0,10393.0,10392.0,10392.0,10394.0,10393.0,10395.0,10393.0,10396.0,10397.0,10392.0,10390.0,10390.0,10392.0,10390.0,10387.0,10387.0,10388.0,10389.0,10391.0,10392.0,10391.0,10392.0,10392.0,10391.0,10390.0,10388.0,10386.0,10386.0,10385.0,10384.0,10383.0,10381.0,10381.0
10,2.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,3.0,3.0,4.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,9.0,9.0,11.0,13.0,17.0,21.0,28.0,35.0,37.0,40.0,45.0,51.0,58.0,59.0,64.0,70.0,74.0,75.0,85.0,87.0,92.0,102.0,111.0,118.0,125.0,129.0,144.0,173.0,208.0,235.0,244.0,273.0,328.0,388.0,427.0,471.0,507.0,573.0,632.0,675.0,725.0,756.0,820.0,859.0,881.0,886.0,891.0,916.0,870.0,847.0,851.0,788.0,723.0,738.0,638.0,599.0,579.0,513.0,507.0,467.0,415.0,411.0,379.0,335.0,298.0,292.0,254.0,252.0,220.0,200.0,193.0,209.0,182.0,183.0,142.0,139.0,142.0,138.0,126.0,133.0,134.0,125.0,108.0,102.0,99.0,97.0,93.0,84.0,76.0,90.0,68.0,89.0,56.0,67.0,69.0,78.0,73.0,67.0,46.0,58.0,69.0,59.0,49.0,47.0,56.0,44.0,37.0,51.0,37.0,42.0,25.0,36.0,33.0,25.0,37.0,24.0,26.0,30.0,27.0,28.0,52.0,20.0,29.0,29.0,31.0,23.0,32.0,18.0,22.0,19.0,25.0,20.0,17.0,21.0,15.0,20.0,11.0,15.0,19.0,12.0,14.0,14.0,18.0,16.0,5.0,11.0,15.0,16.0,13.0,8.0,13.0,19.0,12.0,11.0,12.0,8.0,13.0,8.0,16.0,7.0,8.0,9.0,14.0,8.0,9.0,5.0,9.0,9.0,10.0,10.0,8.0,5.0,3.0,6.0,8.0,7.0,4.0,7.0,4.0,2.0,2.0,1.0,7.0,1.0,4.0,4.0,6.0,5.0,0.0,5.0,6.0,5.0,7.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,0.0,2.0,3.0,1.0
